Source,Target,Sentiment_Type,Weight
artificialintelligence,datascience,neutro,995
datascience,machinelearning,neutro,861
artificialintelligence,datascience,positivo,703
bigdata,datascience,neutro,685
artificialintelligence,machinelearning,neutro,676
datascience,machinelearning,positivo,669
artificialintelligence,bigdata,neutro,540
artificialintelligence,machinelearning,positivo,488
bigdata,datascience,positivo,466
bigdata,machinelearning,neutro,422
data,datascience,neutro,415
data,datascience,positivo,379
artificialintelligence,bigdata,positivo,364
data,machinelearning,neutro,321
analytics,datascience,neutro,309
bigdata,machinelearning,positivo,302
data,machinelearning,positivo,298
analytics,bigdata,neutro,282
artificialintelligence,data,neutro,282
datascience,python,positivo,276
datascience,deeplearning,positivo,263
chatgpt,datascience,neutro,261
datascience,python,neutro,260
datascience,deeplearning,neutro,257
bigdata,data,neutro,249
analytics,datascience,positivo,239
deeplearning,machinelearning,neutro,238
deeplearning,machinelearning,positivo,236
artificialintelligence,deeplearning,positivo,235
artificialintelligence,data,positivo,233
artificialintelligence,deeplearning,neutro,231
bigdata,data,positivo,226
artificial,intelligence,positivo,225
analytics,machinelearning,neutro,216
analytics,bigdata,positivo,214
machinelearning,python,positivo,211
analytics,artificialintelligence,neutro,193
chatgpt,datascience,positivo,191
artificialintelligence,datascience,negativo,191
artificialintelligence,chatgpt,neutro,191
datascience,trending,neutro,184
article,datascience,neutro,181
machinelearning,trending,neutro,180
artificialintelligence,trending,neutro,180
analytics,data,neutro,179
article,artificialintelligence,neutro,179
datascience,tech,neutro,172
aiml,datascience,neutro,166
analytics,artificialintelligence,positivo,165
aiml,artificialintelligence,neutro,164
aiml,machinelearning,neutro,164
aiml,trending,neutro,163
analytics,data,positivo,156
dataanalysis,datascience,positivo,156
machinelearning,python,neutro,154
artificialintelligence,tech,neutro,153
datascience,with,neutro,152
datascience,learning,neutro,151
datascience,machinelearning,negativo,150
article,machinelearning,neutro,150
data,science,positivo,148
dataanalysis,datascience,neutro,148
analytics,machinelearning,positivo,147
aiml,article,neutro,146
article,trending,neutro,146
bigdata,datascience,negativo,146
learning,machinelearning,neutro,143
datascience,openai,neutro,139
artificialintelligence,machinelearning,negativo,139
learning,machine,neutro,135
dataanalysis,machinelearning,positivo,130
datascience,with,positivo,130
chatgpt,machinelearning,neutro,129
artificialintelligence,bigdata,negativo,126
artificialintelligence,intelligence,positivo,125
dataengineering,datascience,neutro,123
bigdata,deeplearning,neutro,122
artificialintelligence,python,neutro,122
machinelearning,tech,neutro,122
datascience,learning,positivo,122
bigdata,tech,neutro,121
bigdata,chatgpt,neutro,121
hiring,machinelearning,neutro,121
learning,machine,positivo,121
blockchain,datascience,neutro,121
artificial,artificialintelligence,positivo,120
artificialintelligence,chatgpt,positivo,120
artificialintelligence,learning,neutro,119
bigdata,blockchain,neutro,119
datascience,thanks,positivo,119
artificialintelligence,python,positivo,118
data,science,neutro,118
data,tech,neutro,117
analytics,tech,neutro,117
artificialintelligence,blockchain,neutro,117
artificialintelligence,dataanalysis,positivo,115
datascience,free,positivo,115
datascience,tech,positivo,115
analytics,blockchain,neutro,113
datascience,intelligence,positivo,113
data,python,positivo,113
artificialintelligence,with,neutro,112
bigdata,python,neutro,111
blockchain,machinelearning,neutro,110
artificial,datascience,positivo,110
blockchain,data,neutro,108
hiring,machinelearning,positivo,106
blockchain,tech,neutro,105
articles,datascience,neutro,105
dataengineering,datascience,positivo,104
artificialintelligence,tech,positivo,103
data,dataanalysis,neutro,100
articles,artificialintelligence,neutro,100
articles,bigdata,neutro,100
learning,machinelearning,positivo,99
datajobs,hiring,positivo,99
artificialintelligence,dataanalysis,neutro,99
deeplearning,python,positivo,99
datajobs,machinelearning,positivo,99
data,dataanalysis,positivo,99
